transaction_id,customer_id,date,product_id,quantity,price,payment_method,channel,store_id,promotion_id,discount_amount
8690,639,2023-12-01 16:31:39,21,1,3.83,Credit Card,In-store,3.0,0.0,0.0
2079,410,2023-12-01 15:52:18,5,1,5.94,Credit Card,In-store,5.0,0.0,0.0
3164,137,2023-12-01 13:22:05,21,2,3.02,Credit Card,In-store,5.0,0.0,0.0
2398,678,2023-12-01 14:42:45,15,1,8.87,Cash,Online,,0.0,0.0
5887,448,2023-12-01 09:16:00,21,2,4.79,Mobile Pay,Online,,0.0,0.0
9385,416,2023-12-01 11:21:03,5,1,4.81,Credit Card,In-store,1.0,0.0,0.0
3081,536,2023-12-01 11:42:08,21,1,3.43,Mobile Pay,In-store,5.0,0.0,0.0
2235,690,2023-12-01 16:43:52,15,1,4.88,Credit Card,In-store,2.0,0.0,0.0
2290,717,2023-12-01 11:15:16,21,1,4.34,Credit Card,Online,,0.0,0.0
9466,192,2023-12-01 12:37:56,5,1,4.0,Mobile Pay,In-store,5.0,0.0,0.0
10188,155,2023-12-01 15:18:47,15,1,4.29,Credit Card,Online,,0.0,0.0
5983,268,2023-12-01 15:44:30,5,3,2.03,Mobile Pay,In-store,4.0,0.0,0.0
1822,719,2023-12-01 14:51:38,6,1,3.45,Credit Card,In-store,3.0,9.0,0.35
9923,624,2023-12-01 11:09:12,15,5,3.32,Mobile Pay,Online,,0.0,0.0
9160,197,2023-12-01 15:24:39,5,1,7.64,Mobile Pay,In-store,4.0,0.0,0.0
9373,707,2023-12-01 09:42:35,6,1,5.89,Cash,Online,,8.0,0.59
2300,454,2023-12-01 10:56:37,15,1,7.75,Cash,In-store,3.0,0.0,0.0
2459,713,2023-12-01 10:56:14,5,6,2.2,Mobile Pay,Online,,0.0,0.0
10235,638,2023-12-01 10:26:02,15,2,4.4,Credit Card,In-store,1.0,0.0,0.0
6734,109,2023-12-01 15:33:27,15,1,2.02,Credit Card,Online,,0.0,0.0
1912,209,2023-12-01 10:11:27,5,1,1.77,Mobile Pay,Online,,0.0,0.0
9717,503,2023-12-02 13:14:30,15,2,3.83,Cash,In-store,4.0,0.0,0.0
1849,384,2023-12-02 13:28:57,5,4,3.23,Credit Card,Online,,0.0,0.0
9737,505,2023-12-02 13:59:56,15,1,2.75,Mobile Pay,In-store,4.0,0.0,0.0
5674,315,2023-12-02 11:27:08,21,1,4.04,Credit Card,In-store,3.0,6.0,0.4
5593,435,2023-12-02 14:40:58,15,1,8.86,Credit Card,Online,,0.0,0.0
1127,208,2023-12-02 14:04:19,15,5,4.77,Credit Card,In-store,5.0,0.0,0.0
10816,327,2023-12-02 13:36:47,21,1,4.68,Credit Card,Online,,0.0,0.0
184,347,2023-12-02 15:25:12,6,1,4.04,Mobile Pay,In-store,3.0,0.0,0.0
7775,674,2023-12-02 12:02:12,15,1,5.75,Credit Card,In-store,3.0,9.0,0.57
4695,213,2023-12-02 13:35:35,6,1,4.75,Mobile Pay,Online,,0.0,0.0
481,296,2023-12-02 10:32:18,5,2,2.82,Credit Card,Online,,0.0,0.0
3203,105,2023-12-02 15:17:05,21,5,8.3,Credit Card,In-store,1.0,0.0,0.0
192,620,2023-12-02 15:18:08,15,1,3.19,Mobile Pay,Online,,0.0,0.0
1528,678,2023-12-02 15:28:38,6,1,2.57,Mobile Pay,Online,,0.0,0.0
1431,546,2023-12-02 13:05:27,21,1,2.32,Cash,In-store,2.0,0.0,0.0
7992,608,2023-12-02 12:20:38,6,1,2.23,Cash,In-store,1.0,0.0,0.0
8378,189,2023-12-02 15:53:23,21,4,5.13,Cash,Online,,0.0,0.0
4389,381,2023-12-02 14:14:33,15,2,7.12,Cash,In-store,4.0,7.0,1.42
2836,648,2023-12-02 16:11:38,6,1,5.03,Cash,Online,,0.0,0.0
9148,250,2023-12-02 13:43:55,21,5,5.1,Cash,Online,,0.0,0.0
5532,517,2023-12-02 14:33:00,15,2,8.14,Credit Card,Online,,0.0,0.0
1810,176,2023-12-02 10:11:00,15,2,2.83,Cash,Online,,0.0,0.0
9101,383,2023-12-02 09:49:44,15,1,4.25,Credit Card,In-store,3.0,0.0,0.0
3275,717,2023-12-02 10:35:07,5,1,4.5,Cash,Online,,0.0,0.0
3371,204,2023-12-02 15:51:54,6,1,2.33,Credit Card,In-store,4.0,0.0,0.0
3428,442,2023-12-02 15:56:52,15,1,7.21,Mobile Pay,In-store,1.0,0.0,0.0
3488,636,2023-12-02 13:51:21,21,1,4.59,Mobile Pay,Online,,0.0,0.0
9576,112,2023-12-02 15:53:43,15,1,3.42,Cash,Online,,0.0,0.0
9563,679,2023-12-02 15:15:49,5,1,8.69,Cash,Online,,0.0,0.0
4644,424,2023-12-02 10:48:28,6,2,5.24,Cash,Online,,5.0,1.05
1105,104,2023-12-02 14:01:35,6,1,4.43,Mobile Pay,Online,,0.0,0.0
811,695,2023-12-02 14:21:23,5,1,8.33,Mobile Pay,Online,,0.0,0.0
10515,511,2023-12-02 15:22:49,6,3,5.09,Cash,Online,,0.0,0.0
6098,310,2023-12-02 14:06:42,5,1,8.95,Cash,Online,,3.0,0.89
4349,405,2023-12-02 11:39:25,6,4,7.1,Credit Card,In-store,4.0,0.0,0.0
836,674,2023-12-02 10:12:02,6,1,4.78,Cash,Online,,0.0,0.0
3618,272,2023-12-02 15:29:59,21,1,4.06,Mobile Pay,In-store,1.0,7.0,0.41
7372,251,2023-12-02 12:24:34,21,1,8.56,Mobile Pay,In-store,5.0,0.0,0.0
4225,665,2023-12-02 16:05:48,15,2,4.28,Mobile Pay,Online,,0.0,0.0
10418,546,2023-12-02 09:21:14,6,1,3.16,Credit Card,In-store,1.0,0.0,0.0
10494,361,2023-12-02 09:00:29,6,1,4.23,Cash,In-store,2.0,0.0,0.0
10045,548,2023-12-02 11:40:35,15,4,8.07,Cash,In-store,5.0,0.0,0.0
8482,163,2023-12-02 10:45:13,15,1,4.33,Cash,In-store,2.0,0.0,0.0
6101,421,2023-12-02 13:56:52,6,1,6.96,Cash,Online,,0.0,0.0
6149,623,2023-12-02 09:32:06,15,2,2.85,Mobile Pay,In-store,5.0,0.0,0.0
6341,247,2023-12-02 11:51:57,15,1,3.56,Mobile Pay,In-store,4.0,9.0,0.36
6305,574,2023-12-02 14:49:59,15,1,4.38,Cash,Online,,0.0,0.0
6357,194,2023-12-02 12:07:34,6,1,2.72,Mobile Pay,In-store,2.0,9.0,0.27
5923,174,2023-12-02 09:01:25,15,1,4.71,Credit Card,Online,,0.0,0.0
6160,450,2023-12-02 13:09:53,15,1,7.55,Mobile Pay,Online,,0.0,0.0
7574,399,2023-12-03 15:12:20,6,1,4.56,Cash,Online,,0.0,0.0
809,362,2023-12-03 14:42:57,6,5,3.93,Mobile Pay,Online,,7.0,1.96
3645,248,2023-12-03 12:55:13,15,1,8.68,Credit Card,In-store,3.0,0.0,0.0
3879,472,2023-12-03 12:32:20,5,2,6.49,Credit Card,In-store,5.0,0.0,0.0
1146,226,2023-12-03 11:08:30,15,1,5.03,Mobile Pay,Online,,0.0,0.0
2968,492,2023-12-03 15:12:44,21,1,4.85,Mobile Pay,Online,,0.0,0.0
3870,401,2023-12-03 13:22:42,5,1,8.26,Cash,In-store,2.0,0.0,0.0
2308,108,2023-12-03 15:53:27,6,1,3.68,Credit Card,In-store,4.0,0.0,0.0
7610,588,2023-12-03 10:04:52,15,2,4.61,Cash,Online,,5.0,0.92
5248,457,2023-12-03 12:10:42,6,1,8.41,Mobile Pay,In-store,5.0,0.0,0.0
3158,496,2023-12-03 11:22:09,5,1,3.45,Mobile Pay,Online,,0.0,0.0
9766,620,2023-12-03 11:47:31,6,1,5.96,Mobile Pay,Online,,0.0,0.0
833,425,2023-12-03 15:57:16,15,3,4.65,Cash,In-store,5.0,7.0,1.39
243,188,2023-12-03 12:23:09,21,1,2.54,Cash,Online,,5.0,0.25
7224,293,2023-12-03 15:39:57,15,1,2.62,Mobile Pay,In-store,1.0,0.0,0.0
7286,401,2023-12-03 10:46:24,21,1,3.2,Cash,In-store,2.0,0.0,0.0
3369,509,2023-12-03 16:32:04,15,1,3.29,Cash,Online,,0.0,0.0
5826,428,2023-12-03 13:03:09,21,1,3.59,Cash,In-store,1.0,0.0,0.0
7714,401,2023-12-03 10:38:15,15,1,6.9,Cash,Online,,0.0,0.0
3537,586,2023-12-03 11:03:19,5,3,2.43,Mobile Pay,Online,,0.0,0.0
4398,525,2023-12-03 16:22:16,15,1,4.46,Cash,Online,,0.0,0.0
4438,469,2023-12-03 16:46:35,15,6,5.78,Cash,Online,,0.0,0.0
7212,386,2023-12-03 15:59:25,15,3,5.42,Cash,In-store,1.0,0.0,0.0
5394,235,2023-12-03 10:29:18,15,1,5.32,Mobile Pay,Online,,6.0,0.53
4112,650,2023-12-03 15:24:15,5,1,3.76,Cash,In-store,5.0,0.0,0.0
10233,455,2023-12-03 09:26:55,21,3,6.22,Cash,Online,,0.0,0.0
4333,363,2023-12-03 15:48:47,5,3,3.92,Cash,Online,,0.0,0.0
10828,329,2023-12-03 15:10:50,6,1,6.69,Mobile Pay,In-store,4.0,0.0,0.0
10068,292,2023-12-03 12:59:44,15,1,8.82,Cash,Online,,10.0,0.88
5423,327,2023-12-03 12:49:36,15,1,4.97,Mobile Pay,Online,,0.0,0.0
9941,399,2023-12-03 10:26:03,5,1,4.85,Credit Card,In-store,1.0,0.0,0.0
134,596,2023-12-03 16:38:41,15,1,4.66,Credit Card,In-store,1.0,0.0,0.0
2774,537,2023-12-03 15:47:48,15,1,3.35,Mobile Pay,In-store,2.0,0.0,0.0
4405,675,2023-12-03 16:07:38,15,1,3.81,Cash,Online,,0.0,0.0
6745,226,2023-12-03 11:49:42,6,2,9.14,Mobile Pay,Online,,0.0,0.0
2874,607,2023-12-04 14:27:08,21,1,7.15,Credit Card,Online,,0.0,0.0
7638,298,2023-12-04 15:01:19,15,1,6.09,Mobile Pay,Online,,0.0,0.0
6889,468,2023-12-04 14:12:36,5,2,3.42,Mobile Pay,Online,,0.0,0.0
3800,336,2023-12-04 12:46:08,15,1,4.71,Mobile Pay,Online,,0.0,0.0
7499,488,2023-12-04 10:57:12,15,1,5.47,Mobile Pay,Online,,0.0,0.0
7250,398,2023-12-04 10:43:59,15,5,3.42,Cash,In-store,5.0,4.0,1.71
9726,566,2023-12-04 10:36:21,15,5,6.43,Mobile Pay,In-store,4.0,0.0,0.0
2610,709,2023-12-04 12:36:48,15,1,5.49,Credit Card,In-store,2.0,0.0,0.55
8558,302,2023-12-04 11:58:17,15,1,8.75,Credit Card,Online,,4.0,0.87
8100,679,2023-12-04 10:11:39,21,1,3.46,Mobile Pay,Online,,0.0,0.0
2754,186,2023-12-04 10:37:54,15,1,4.14,Mobile Pay,In-store,5.0,0.0,0.0
10594,599,2023-12-04 12:42:48,15,2,5.18,Credit Card,In-store,1.0,3.0,1.04
7679,675,2023-12-04 12:39:45,6,1,5.32,Mobile Pay,In-store,2.0,0.0,0.0
5784,588,2023-12-04 13:34:12,6,4,7.14,Mobile Pay,Online,,0.0,0.0
6035,508,2023-12-04 13:58:15,15,5,4.82,Credit Card,In-store,2.0,9.0,2.41
6521,706,2023-12-04 12:13:14,21,1,3.09,Credit Card,In-store,4.0,2.0,0.31
204,213,2023-12-04 12:56:28,15,4,6.81,Mobile Pay,Online,,0.0,0.0
8229,393,2023-12-04 16:18:21,6,1,6.48,Cash,Online,,0.0,0.0
4735,347,2023-12-04 16:47:18,15,2,3.57,Credit Card,Online,,0.0,0.0
9989,122,2023-12-04 13:53:03,5,3,8.76,Cash,Online,,0.0,0.0
9492,640,2023-12-04 09:32:39,21,2,7.8,Mobile Pay,Online,,0.0,0.0
8994,506,2023-12-04 13:03:22,15,1,4.9,Cash,In-store,4.0,10.0,0.49
9303,182,2023-12-04 11:29:17,5,3,4.89,Mobile Pay,Online,,0.0,0.0
1104,191,2023-12-04 12:14:09,15,1,5.06,Mobile Pay,In-store,4.0,0.0,0.0
9230,339,2023-12-04 13:18:23,5,1,3.32,Mobile Pay,Online,,0.0,0.0
402,572,2023-12-04 12:10:09,15,1,7.62,Cash,In-store,5.0,0.0,0.0
4142,266,2023-12-04 16:12:33,21,1,3.48,Credit Card,In-store,1.0,0.0,0.0
7810,174,2023-12-04 14:14:58,21,4,3.95,Mobile Pay,Online,,0.0,0.0
6187,550,2023-12-04 16:57:35,6,1,2.29,Mobile Pay,In-store,1.0,0.0,0.0
7552,705,2023-12-04 13:03:44,21,1,4.24,Cash,In-store,2.0,0.0,0.0
9539,200,2023-12-04 10:09:16,15,2,6.39,Mobile Pay,Online,,0.0,0.0
4030,517,2023-12-04 12:22:10,6,1,5.47,Cash,Online,,0.0,0.0
2200,458,2023-12-04 12:18:44,21,2,3.65,Mobile Pay,Online,,8.0,0.73
7996,191,2023-12-04 10:11:49,15,1,7.65,Credit Card,In-store,2.0,10.0,0.77
3382,223,2023-12-04 10:27:29,15,1,8.72,Mobile Pay,In-store,1.0,0.0,0.0
5338,145,2023-12-04 16:17:19,15,1,6.52,Credit Card,Online,,0.0,0.0
1706,659,2023-12-04 09:37:43,5,2,3.93,Credit Card,Online,,0.0,0.0
10898,228,2023-12-04 16:09:47,15,1,4.26,Mobile Pay,In-store,5.0,0.0,0.0
3480,544,2023-12-04 14:21:27,15,1,2.22,Credit Card,In-store,5.0,6.0,0.22
5925,588,2023-12-04 15:47:51,15,1,4.14,Cash,In-store,5.0,0.0,0.0
10514,217,2023-12-04 13:22:51,15,1,3.4,Cash,Online,,0.0,0.0
84,469,2023-12-05 10:07:57,5,3,3.93,Credit Card,In-store,3.0,1.0,1.18
9565,122,2023-12-05 12:31:10,15,1,6.17,Credit Card,In-store,1.0,0.0,0.0
778,438,2023-12-05 09:13:07,5,1,5.82,Mobile Pay,Online,,0.0,0.0
9107,191,2023-12-05 16:45:14,6,1,8.68,Cash,In-store,5.0,0.0,0.0
7984,159,2023-12-05 10:03:19,15,2,3.12,Cash,In-store,3.0,0.0,0.0
7366,534,2023-12-05 14:23:16,21,1,8.37,Cash,Online,,0.0,0.0
989,576,2023-12-05 11:46:56,15,1,2.13,Mobile Pay,Online,,0.0,0.0
421,157,2023-12-05 14:59:29,6,1,4.29,Credit Card,Online,,0.0,0.0
1880,501,2023-12-05 12:41:43,6,1,3.94,Mobile Pay,In-store,5.0,0.0,0.0
252,378,2023-12-05 14:35:30,15,1,5.99,Credit Card,In-store,4.0,0.0,0.0
5515,491,2023-12-05 15:51:24,6,1,8.27,Mobile Pay,Online,,0.0,0.0
2111,104,2023-12-05 09:37:50,21,1,8.27,Cash,Online,,0.0,0.0
1061,432,2023-12-05 15:38:24,21,1,4.62,Credit Card,Online,,9.0,0.46
1816,355,2023-12-05 12:49:17,15,1,4.25,Mobile Pay,Online,,0.0,0.0
7885,310,2023-12-05 13:51:55,6,1,3.88,Mobile Pay,Online,,4.0,0.39
4013,252,2023-12-05 15:15:38,5,2,4.38,Cash,Online,,3.0,0.88
5557,199,2023-12-05 10:37:49,15,3,2.72,Mobile Pay,In-store,5.0,0.0,0.0
3950,474,2023-12-05 10:27:50,15,1,3.07,Credit Card,Online,,0.0,0.0
3840,455,2023-12-05 15:14:00,15,2,2.63,Mobile Pay,In-store,4.0,0.0,0.0
10793,654,2023-12-05 12:49:58,6,1,4.7,Mobile Pay,In-store,4.0,0.0,0.0
8327,238,2023-12-05 09:13:26,15,1,2.18,Cash,In-store,5.0,0.0,0.0
9471,167,2023-12-05 13:16:00,6,1,3.02,Mobile Pay,In-store,3.0,0.0,0.0
10939,709,2023-12-05 13:17:57,21,1,3.19,Mobile Pay,In-store,3.0,0.0,0.0
10912,128,2023-12-05 11:38:42,6,2,3.73,Cash,In-store,1.0,3.0,0.75
1989,263,2023-12-05 13:18:59,21,1,4.35,Credit Card,Online,,0.0,0.0
1795,174,2023-12-05 12:33:24,15,1,3.73,Cash,Online,,0.0,0.0
4043,501,2023-12-05 12:51:29,15,1,4.67,Mobile Pay,In-store,2.0,0.0,0.0
10918,687,2023-12-05 09:43:46,5,1,4.23,Credit Card,Online,,0.0,0.0
4784,344,2023-12-05 09:07:09,5,1,7.87,Cash,In-store,3.0,0.0,0.0
5545,135,2023-12-05 15:16:37,5,2,2.22,Cash,In-store,2.0,0.0,0.0
224,476,2023-12-05 13:56:22,5,1,2.68,Mobile Pay,Online,,0.0,0.0
535,650,2023-12-05 15:16:23,15,1,3.53,Mobile Pay,In-store,5.0,0.0,0.0
2085,619,2023-12-05 15:36:00,6,1,2.31,Cash,Online,,0.0,0.0
3567,518,2023-12-05 09:33:13,15,1,5.16,Mobile Pay,Online,,5.0,0.52
6058,686,2023-12-05 09:59:39,6,2,3.08,Cash,Online,,0.0,0.0
8688,707,2023-12-05 09:12:24,6,3,3.33,Credit Card,Online,,0.0,0.0
10460,355,2023-12-05 14:40:44,6,3,3.77,Mobile Pay,In-store,4.0,0.0,0.0
2113,500,2023-12-05 10:25:01,15,2,5.56,Mobile Pay,In-store,4.0,0.0,0.0
764,338,2023-12-05 15:02:45,6,3,4.04,Cash,Online,,0.0,0.0
2911,510,2023-12-06 09:21:52,15,1,4.88,Mobile Pay,Online,,0.0,0.0
10554,478,2023-12-06 13:14:56,15,7,2.51,Mobile Pay,In-store,5.0,4.0,1.51
8519,538,2023-12-06 09:18:54,21,1,3.76,Cash,In-store,3.0,0.0,0.0
8280,312,2023-12-06 09:04:52,15,1,2.96,Credit Card,In-store,3.0,0.0,0.0
4293,694,2023-12-06 16:39:52,15,1,3.86,Cash,Online,,0.0,0.0
5364,197,2023-12-06 16:36:54,21,1,6.0,Mobile Pay,In-store,5.0,0.0,0.0
10240,236,2023-12-06 13:51:39,6,1,3.79,Cash,Online,,0.0,0.0
4538,303,2023-12-06 09:58:33,15,1,3.48,Cash,Online,,0.0,0.0
7033,333,2023-12-06 14:15:01,6,5,6.05,Cash,Online,,0.0,0.0
2884,496,2023-12-06 13:30:48,15,1,2.0,Cash,Online,,0.0,0.0
4029,464,2023-12-06 10:09:02,6,1,5.19,Credit Card,Online,,0.0,0.0
6496,308,2023-12-06 15:05:53,15,1,3.14,Mobile Pay,In-store,1.0,0.0,0.0
7863,364,2023-12-06 13:33:14,6,1,4.09,Cash,In-store,3.0,0.0,0.0
5399,594,2023-12-06 13:28:02,15,1,4.82,Mobile Pay,Online,,0.0,0.0
7942,156,2023-12-06 15:50:36,21,3,3.91,Cash,Online,,0.0,0.0
6406,189,2023-12-06 10:43:40,5,1,5.66,Mobile Pay,Online,,7.0,0.57
476,588,2023-12-06 14:54:13,15,1,2.81,Cash,Online,,0.0,0.0
3718,464,2023-12-06 13:29:58,15,1,3.03,Mobile Pay,In-store,3.0,0.0,0.0
2864,345,2023-12-06 12:23:59,21,1,4.29,Credit Card,Online,,0.0,0.0
8987,569,2023-12-06 09:15:50,6,4,3.44,Cash,Online,,0.0,0.0
4623,352,2023-12-06 14:13:14,15,1,4.69,Cash,Online,,0.0,0.0
9004,627,2023-12-06 10:03:14,15,2,3.86,Mobile Pay,Online,,6.0,0.77
4881,474,2023-12-06 10:57:10,5,2,3.14,Mobile Pay,In-store,4.0,0.0,0.0
8909,301,2023-12-06 15:20:51,21,1,4.8,Cash,Online,,0.0,0.0
7230,307,2023-12-06 15:55:13,15,1,4.75,Cash,Online,,0.0,0.0
6978,668,2023-12-06 15:35:32,5,1,5.01,Credit Card,In-store,3.0,0.0,0.0
8959,298,2023-12-06 15:35:49,15,1,3.09,Credit Card,Online,,0.0,0.0
8616,185,2023-12-06 16:27:23,15,1,3.14,Cash,In-store,3.0,0.0,0.0
4147,101,2023-12-06 14:40:57,15,1,5.09,Credit Card,In-store,5.0,0.0,0.0
8490,282,2023-12-06 13:10:50,21,1,2.73,Credit Card,In-store,5.0,0.0,0.0
7981,179,2023-12-06 11:12:02,5,1,6.73,Mobile Pay,In-store,2.0,0.0,0.0
1297,510,2023-12-06 12:20:04,5,1,8.72,Cash,In-store,5.0,0.0,0.0
9211,151,2023-12-06 12:24:05,21,2,4.48,Mobile Pay,Online,,6.0,0.9
6241,152,2023-12-06 11:06:05,15,1,4.9,Mobile Pay,In-store,2.0,0.0,0.0
551,201,2023-12-06 12:37:40,21,1,2.92,Mobile Pay,In-store,1.0,0.0,0.0
3069,597,2023-12-06 16:58:59,15,3,7.76,Cash,Online,,0.0,0.0
3039,192,2023-12-06 14:27:00,21,1,5.22,Credit Card,In-store,2.0,0.0,0.0
10437,352,2023-12-06 11:54:43,6,1,7.8,Mobile Pay,In-store,2.0,6.0,0.78
8321,397,2023-12-06 11:32:18,21,1,2.97,Credit Card,In-store,3.0,0.0,0.0
8319,228,2023-12-06 12:41:51,5,1,2.88,Credit Card,Online,,0.0,0.0
548,344,2023-12-06 13:42:17,15,3,8.48,Credit Card,Online,,0.0,0.0
10954,645,2023-12-06 13:54:29,21,3,3.01,Cash,In-store,5.0,0.0,0.0
6405,675,2023-12-06 09:44:36,6,7,6.08,Mobile Pay,In-store,4.0,0.0,0.0
6421,245,2023-12-06 10:12:35,6,1,4.1,Mobile Pay,Online,,0.0,0.0
3016,131,2023-12-06 09:55:36,15,1,5.18,Cash,In-store,2.0,2.0,0.52
4714,404,2023-12-06 16:41:32,5,1,5.53,Cash,Online,,0.0,0.0
2322,597,2023-12-06 13:53:19,15,1,3.15,Mobile Pay,In-store,3.0,0.0,0.0
245,212,2023-12-06 09:10:33,5,2,2.07,Credit Card,In-store,3.0,5.0,0.41
4362,520,2023-12-06 12:04:44,21,2,2.99,Credit Card,Online,,0.0,0.0
5783,565,2023-12-06 10:44:13,15,1,8.33,Cash,Online,,0.0,0.0
2484,401,2023-12-06 11:45:56,21,1,6.34,Mobile Pay,Online,,0.0,0.0
1850,346,2023-12-06 12:11:52,6,1,2.89,Cash,In-store,2.0,0.0,0.0
2632,350,2023-12-06 11:23:39,21,1,6.9,Cash,Online,,3.0,0.69
7767,163,2023-12-06 09:39:56,6,1,6.91,Cash,In-store,4.0,0.0,0.0
2103,399,2023-12-06 13:49:33,21,1,2.23,Credit Card,In-store,4.0,0.0,0.0
9810,193,2023-12-06 12:01:59,21,2,4.06,Mobile Pay,Online,,7.0,0.81
1352,208,2023-12-06 16:50:44,5,1,5.82,Credit Card,In-store,2.0,10.0,0.58
5339,454,2023-12-06 10:50:01,21,1,3.43,Cash,In-store,5.0,0.0,0.0
203,126,2023-12-06 09:29:11,15,1,3.66,Credit Card,Online,,0.0,0.0
6996,410,2023-12-06 12:44:36,21,1,3.36,Cash,In-store,4.0,0.0,0.0
8657,269,2023-12-07 11:06:00,5,1,4.86,Credit Card,In-store,5.0,0.0,0.0
3918,355,2023-12-07 09:15:47,15,4,6.18,Mobile Pay,In-store,3.0,10.0,1.85
1402,198,2023-12-07 14:49:23,5,1,4.77,Mobile Pay,In-store,3.0,0.0,0.0
997,578,2023-12-07 15:04:34,21,1,3.33,Mobile Pay,Online,,0.0,0.0
9895,247,2023-12-07 14:36:56,15,5,4.69,Cash,In-store,5.0,0.0,0.0
2524,526,2023-12-07 16:57:14,15,4,3.46,Cash,In-store,3.0,0.0,0.0
5102,394,2023-12-07 13:43:11,15,1,4.41,Cash,In-store,3.0,0.0,0.0
1303,311,2023-12-07 09:35:08,15,5,3.33,Credit Card,In-store,3.0,0.0,0.0
2178,194,2023-12-07 09:34:58,6,1,2.93,Mobile Pay,Online,,0.0,0.0
4613,437,2023-12-07 12:15:51,15,1,5.61,Cash,Online,,9.0,0.56
10951,555,2023-12-07 11:12:34,15,3,4.91,Credit Card,Online,,0.0,0.0
8394,578,2023-12-07 13:05:38,21,1,4.12,Mobile Pay,In-store,3.0,0.0,0.0
4100,599,2023-12-07 12:26:44,6,5,2.83,Mobile Pay,In-store,5.0,0.0,0.0
6473,709,2023-12-07 12:04:07,21,1,3.22,Mobile Pay,In-store,3.0,0.0,0.0
9139,337,2023-12-07 15:41:53,21,1,4.44,Credit Card,In-store,1.0,0.0,0.0
10091,205,2023-12-07 14:09:23,5,6,3.87,Mobile Pay,In-store,5.0,0.0,0.0
7291,395,2023-12-07 13:27:09,15,1,5.96,Credit Card,In-store,2.0,0.0,0.6
4177,570,2023-12-07 14:12:09,5,1,4.46,Mobile Pay,In-store,4.0,0.0,0.0
6782,374,2023-12-07 16:48:42,15,1,4.23,Mobile Pay,Online,,0.0,0.0
6537,352,2023-12-07 12:18:43,15,1,4.91,Cash,In-store,1.0,8.0,0.49
6029,321,2023-12-07 15:36:43,15,1,2.81,Mobile Pay,In-store,5.0,0.0,0.0
2259,445,2023-12-07 11:08:12,15,1,6.11,Credit Card,In-store,2.0,0.0,0.0
5970,589,2023-12-07 10:02:43,21,1,5.14,Cash,In-store,2.0,0.0,0.0
1150,571,2023-12-07 14:38:33,6,1,3.5,Mobile Pay,In-store,3.0,0.0,0.0
3250,595,2023-12-07 13:35:54,15,1,3.94,Cash,Online,,3.0,0.39
7521,716,2023-12-07 12:00:25,21,3,5.25,Credit Card,In-store,3.0,0.0,0.0
